가격,건축년도,주소,등록일,아파트,전용면적,층
84000,2001, 하왕십리동 1058,2024-07-04,극동미라주,59.4,14
205000,2015, 하왕십리동 1066,2024-07-04,텐즈힐(1단지),129.34,14
187000,2015, 하왕십리동 1066,2024-07-05,텐즈힐(1단지),129.34,2
105000,2000, 행당동 346,2024-07-01,행당한진타운,59.96,21
104000,2000, 행당동 347,2024-07-03,대림e-편한세상,59.96,10
130000,2000, 행당동 347,2024-07-03,대림e-편한세상,84.87,11
99500,1997, 행당동 345,2024-07-03,두산,84.87,8
103900,2000, 행당동 346,2024-07-03,행당한진타운,59.96,13
100000,2000, 행당동 346,2024-07-03,행당한진타운,59.96,23
155000,2012, 금호동2가 1217,2024-07-05,래미안하이리버,84.99,19
150000,2012, 금호동2가 1217,2024-07-06,래미안하이리버,84.99,11
114500,1994, 금호동3가 1331,2024-07-03,두산,79.08,8
94000,1994, 금호동3가 1331,2024-07-04,두산,59.97,9
65000,1994, 금호동3가 1331,2024-07-10,두산,79.08,4
192000,2012, 금호동4가 235,2024-07-06,서울숲2차푸르지오,84.898,12
194000,2012, 옥수동 561,2024-07-01,래미안 옥수 리버젠,84.73,13
150000,1986, 옥수동 428,2024-07-02,극동,148.23,1
160000,2012, 옥수동 561,2024-07-05,래미안 옥수 리버젠,59.25,17
128000,1999, 옥수동 250,2024-07-06,옥수삼성,59.7,19
98000,1999, 성수동1가 708,2024-07-01,동아그린,58.32,9
125000,1999, 성수동1가 709,2024-07-05,대우2,84.97,8
62000,2020, 구의동 670,2024-07-03,광진파크프라이빗,58.63,7
112000,1999, 광장동 576,2024-07-02,광장현대9단지,59.97,4
164100,1989, 광장동 218-1,2024-07-03,극동2,84.55,5
239000,2012, 광장동 582,2024-07-03,광장힐스테이트,130.17,20
130000,1996, 광장동 566,2024-07-03,청구,84.86,9
101000,1996, 광장동 566,2024-07-03,청구,59.95,16
144000,2000, 광장동 577,2024-07-06,현대파크빌,84.81,3
194000,2012, 광장동 582,2024-07-06,광장힐스테이트,84.9,5
163000,2012, 광장동 582,2024-07-10,광장힐스테이트,59.99,9
97500,1997, 자양동 831-1,2024-07-01,한강성원,59.46,5
138000,2002, 자양동 789,2024-07-01,자양8차현대홈타운,80.47,5
95000,1988, 자양동 579,2024-07-02,우성1,59.91,8
240000,2007, 자양동 227-7,2024-07-02,더샵스타시티,139.6,46
138000,1989, 자양동 516,2024-07-03,우성3,84.91,9
133000,1999, 자양동 787,2024-07-04,자양삼성,84.96,17
137000,2017, 자양동 859,2024-07-04,래미안프리미어팰리스,84.92,11
159000,2002, 자양동 789,2024-07-04,자양8차현대홈타운,108.43,5
89500,1989, 자양동 520-2,2024-07-06,우성2,51.57,11
109500,1988, 자양동 579,2024-07-08,우성1,79.75,5
95500,1999, 자양동 784-1,2024-07-09,대동,59.54,8
13900,2014, 화양동 113-1,2024-07-01,광진코지웰,15.63,8
13000,2014, 화양동 113-1,2024-07-01,광진코지웰,15.63,8
40000,2021, 화양동 111-89,2024-07-08,위너스힐(111-89),27.199,7
120000,2021, 용두동 795,2024-07-04,이편한세상청계센트럴포레,84.95,17
83000,2005, 제기동 252,2024-07-02,이수브라운스톤,84.9,4
87000,2000, 전농동 10,2024-07-01,전농SK,84.95,16
102000,2012, 전농동 688,2024-07-01,래미안아름숲,84.96,2
96000,2005, 전농동 687,2024-07-01,전농동신성미소지움,80.325,5
120000,2014, 전농동 690,2024-07-02,래미안크레시티,59.99,9
135500,2018, 전농동 695,2024-07-03,동대문롯데캐슬노블레스,84.98,17
75000,2000, 전농동 10,2024-07-04,전농SK,59.96,21
93000,2000, 전농동 10,2024-07-06,전농SK,114.3,17
60000,1997, 전농동 645-2,2024-07-09,동아,57.9,16
60000,1997, 답십리동 989-1,2024-07-01,우성그린,59.36,8
132000,2019, 답십리동 1013,2024-07-01,래미안미드카운티,84.99,13
36200,1992, 답십리동 42,2024-07-03,동답한신,35.45,1
124500,2014, 답십리동 1003,2024-07-05,래미안위브,84.98,3
69900,2000, 답십리동 80,2024-07-06,답십리청솔우성,59.74,9
127700,2014, 답십리동 1003,2024-07-08,래미안위브,84.98,19
91500,2003, 장안동 336,2024-07-01,장안현대홈타운(336),84.87,14
64000,2005, 장안동 450-4,2024-07-01,형인허브빌(450-4),84.68,4
58000,2009, 장안동 381-3,2024-07-04,한강훼미리주상복합아파트,76.34,11
91000,2003, 장안동 336,2024-07-08,장안현대홈타운(336),84.87,13
12000,2013, 장안동 466-5,2024-07-09,장안푸르미에,12.5803,7
48000,2008, 장안동 344-5,2024-07-11,선일크라시아,66.56,12
90000,2003, 장안동 336,2024-07-12,장안현대홈타운(336),84.87,6
86000,2001, 청량리동 212,2024-07-01,홍릉동부,84.91,10
99500,1997, 청량리동 738,2024-07-09,현대코아,139.98,8
97000,1978, 청량리동 235-1,2024-07-11,미주,102.15,5
69000,2007, 휘경동 366,2024-07-08,동일스위트리버,59.732,2
76000,2000, 이문동 54,2024-07-02,현대,84.56,17
88900,2004, 이문동 311,2024-07-02,래미안이문2차,84.61,5
75000,2003, 이문동 225,2024-07-03,대림e-편한세상,59.958,19
100000,2020, 면목동 1545,2024-07-01,사가정센트럴아이파크,84.956,1
26500,2013, 면목동 1535,2024-07-13,현대휴온,35.5,6
57500,1996, 상봉동 63,2024-07-01,건영2차아파트,57.3,16
57500,1996, 상봉동 63,2024-07-01,건영2차아파트,57.3,16
62500,1999, 상봉동 495,2024-07-02,동부아파트,84.99,2
49300,1999, 상봉동 495,2024-07-03,동부아파트,54.0,21
51000,1999, 상봉동 495,2024-07-06,동부아파트,54.0,17
58000,1996, 상봉동 484,2024-07-06,"엘지,쌍용아파트",68.12,15
65500,2012, 망우동 583,2024-07-02,중랑숲리가,84.956,3
43000,2000, 망우동 574,2024-07-04,백림금호,59.99,9
49000,1997, 신내동 591,2024-07-02,동성아파트,59.4,5
55800,1999, 신내동 797,2024-07-08,동성7,84.78,3
71800,2013, 신내동 817,2024-07-10,신내 데시앙포레,84.94,15
85500,1999, 돈암동 15-1,2024-07-02,돈암동삼성,114.66,8
105000,2016, 돈암동 644,2024-07-02,돈암코오롱하늘채,84.9594,7
70000,2004, 돈암동 636,2024-07-03,이수브라운스톤돈암,59.99,2
85700,2003, 돈암동 633,2024-07-04,동부센트레빌,80.54,9
103000,2016, 돈암동 644,2024-07-08,돈암코오롱하늘채,84.8778,13
46000,1991, 돈암동 1,2024-07-09,돈암현대아파트,41.58,4
68000,1991, 돈암동 1,2024-07-09,돈암현대아파트,84.8,3
79500,2005, 안암동1가 361,2024-07-11,안암동삼성래미안,59.6983,6
101000,2017, 보문동6가 458,2024-07-04,보문파크뷰자이,72.97,10
78000,2013, 보문동3가 230,2024-07-06,이편한세상보문,59.663,1
61000,2000, 정릉동 1019,2024-07-01,정릉성원상떼빌,84.92,11
80500,2009, 정릉동 1035,2024-07-01,정릉2차e-편한세상,84.4,5
45000,1999, 정릉동 1016,2024-07-01,우방,59.94,14
67000,2005, 정릉동 239,2024-07-03,정릉풍림아이원,114.75,3
57500,1999, 정릉동 1015,2024-07-04,길음뉴타운경남아너스빌,59.59,19
59000,1999, 정릉동 809,2024-07-04,정릉중앙하이츠아파트,114.83,2
59300,2001, 정릉동 1021,2024-07-05,대우,84.83,3
91500,2015, 정릉동 1037,2024-07-05,정릉꿈에그린,84.89,3
73000,2005, 정릉동 239,2024-07-05,정릉풍림아이원,114.75,17
64750,2000, 정릉동 1020,2024-07-05,정릉우성아파트 101~105동,84.96,4
49000,2001, 정릉동 1021,2024-07-06,대우,59.98,5
46000,2000, 정릉동 1020,2024-07-08,정릉우성아파트 101~105동,46.65,14
78800,2015, 정릉동 1037,2024-07-09,정릉꿈에그린,84.56,2
59000,2008, 정릉동 1034,2024-07-12,라온유,109.75,1
145000,2022, 길음동 1289,2024-07-02,롯데캐슬클라시아,84.9757,34
92000,2005, 길음동 1281,2024-07-03,길음뉴타운4단지(e편한세상),84.64,17
87800,2005, 길음동 1280,2024-07-05,길음뉴타운2단지푸르지오,84.97,6
83000,2003, 길음동 1278,2024-07-06,길음동동부센트레빌(1278-0),84.844,21
59500,1998, 길음동 1276,2024-07-06,삼부컨비니언,59.94,8
89700,2005, 길음동 1280,2024-07-10,길음뉴타운2단지푸르지오,84.97,14
79500,2005, 길음동 1281,2024-07-10,길음뉴타운4단지(e편한세상),59.97,13
125000,2011, 종암동 134,2024-07-11,래미안라센트,114.98,4
82000,2007, 하월곡동 226,2024-07-02,월곡래미안루나밸리,59.98,15
110000,2006, 하월곡동 225,2024-07-08,래미안월곡,114.678,4
61500,2003, 상월곡동 101,2024-07-01,동아에코빌,59.95,16
58500,2003, 상월곡동 101,2024-07-06,동아에코빌,59.95,20
85000,2020, 장위동 320,2024-07-01,래미안장위퍼스트하이,59.99,2
100000,2021, 장위동 322,2024-07-03,래미안포레카운티,84.97,13
86000,2021, 장위동 322,2024-07-04,래미안포레카운티,59.92,8
115000,2022, 장위동 323,2024-07-06,꿈의숲아이파크,84.48,26
49000,2003, 장위동 233-608,2024-07-07,세영아파트,52.56,3
81500,1998, 석관동 10,2024-07-08,두산,84.9,15
57700,2004, 미아동 1353,2024-07-01,에스케이북한산시티,59.98,4
71000,2003, 미아동 1356,2024-07-01,경남아너스빌(1356-0),84.873,9
79500,2011, 미아동 811,2024-07-04,두산위브트레지움,84.99,6
102000,2017, 미아동 4,2024-07-04,꿈의숲롯데캐슬,104.53,4
57000,2004, 미아동 1353,2024-07-05,에스케이북한산시티,59.98,4
92000,2010, 미아동 813,2024-07-05,래미안트리베라1단지,114.98,1
57000,2004, 미아동 1353,2024-07-10,에스케이북한산시티,59.98,23
45000,1993, 수유동 205,2024-07-01,수유벽산1차,63.78,3
52500,1990, 쌍문동 54,2024-07-02,현대1,84.66,12
47000,1990, 쌍문동 54,2024-07-04,현대1,70.3,13
52000,1990, 쌍문동 54,2024-07-04,현대1,84.66,13
32300,1988, 쌍문동 56,2024-07-06,삼익세라믹,42.93,3
9800,2013, 방학동 705-17,2024-07-01,퍼스티안,13.6794,5
49000,1993, 방학동 508,2024-07-01,우성아파트2,84.98,1
41000,1988, 방학동 274,2024-07-01,삼익세라믹아파트,58.77,4
9600,2013, 방학동 705-17,2024-07-01,퍼스티안,13.6794,5
9800,2013, 방학동 705-17,2024-07-01,퍼스티안,13.6794,5
64500,2001, 방학동 720-1,2024-07-03,대상타운현대아파트,60.0,21
41000,1986, 방학동 271-1,2024-07-05,신동아아파트1,70.62,1
53200,1994, 방학동 734,2024-07-05,청구아파트,84.97,7
46000,1992, 방학동 531,2024-07-08,신동아아파트2,72.92,11
60000,1997, 창동 809,2024-07-01,금용,122.15,13
67500,1997, 창동 807,2024-07-02,쌍용,59.88,5
91500,2004, 창동 825,2024-07-02,북한산아이파크5차,101.9176,12
80000,2003, 창동 818,2024-07-02,창동현대4차,101.9957,7
32900,1989, 창동 38,2024-07-02,주공17단지,36.16,8
64000,1992, 창동 45,2024-07-03,삼성래미안,66.48,4
69000,2001, 창동 815,2024-07-03,창동2차현대,59.499,6
76000,2001, 창동 815,2024-07-04,창동2차현대,84.504,15
47200,1990, 창동 347,2024-07-05,창동주공3단지(해등마을),41.3,13
44000,1988, 창동 300,2024-07-05,상아2차아파트,45.54,5
31500,1989, 창동 38,2024-07-05,주공17단지,36.16,3
94500,1997, 창동 808,2024-07-06,동아청솔,84.97,21
77800,2003, 창동 819,2024-07-06,태영데시앙,84.995,13
34000,1989, 창동 38,2024-07-06,주공17단지,36.16,15
68000,1992, 창동 45,2024-07-08,삼성래미안,66.48,16
56000,1990, 창동 347,2024-07-10,창동주공3단지(해등마을),49.94,4
66000,1983, 월계동 436,2024-07-01,동신,92.84,5
79000,2005, 월계동 944,2024-07-02,풍림아이원,84.303,4
79000,2000, 월계동 929,2024-07-02,현대,84.98,1
32000,1997, 월계동 924,2024-07-02,초안2,49.6,2
69000,2002, 월계동 18,2024-07-03,한진한화그랑빌,59.94,8
29500,1992, 월계동 556,2024-07-03,주공2,38.64,11
51500,1995, 월계동 322-1,2024-07-03,성원(사슴4),59.94,12
96000,2020, 월계동 951,2024-07-04,월계센트럴아이파크,84.99,12
36800,1995, 월계동 320-11,2024-07-05,사슴3,39.6,14
64000,2000, 월계동 929,2024-07-05,현대,59.95,18
100000,2002, 월계동 18,2024-07-06,한진한화그랑빌,139.08,8
29800,1998, 월계동 781,2024-07-06,청백4,39.84,14
70500,2002, 월계동 18,2024-07-10,한진한화그랑빌,59.94,20
48000,1999, 공릉동 81,2024-07-01,태강아파트(아이파크),49.6,2
12800,2013, 공릉동 683-14,2024-07-03,한일휴니스빌,13.62,13
48400,1999, 공릉동 81,2024-07-03,태강아파트(아이파크),49.6,9
66000,2003, 공릉동 751,2024-07-04,대주파크빌아파트,81.12,13
12500,2013, 공릉동 683-14,2024-07-06,한일휴니스빌,13.62,11
81000,2022, 공릉동 758,2024-07-06,태릉해링턴플레이스,59.98,19
36000,1994, 공릉동 715,2024-07-06,시영3차(라이프)아파트,39.6,6
66800,2022, 공릉동 758,2024-07-07,태릉해링턴플레이스,49.98,13
48900,1999, 공릉동 81,2024-07-08,태강아파트(아이파크),49.6,5
100000,1993, 하계동 255-1,2024-07-05,삼익선경,134.19,10
38300,1989, 하계동 274,2024-07-05,청솔(시영7),39.78,6
84000,1997, 하계동 251,2024-07-06,하계1청구,84.6,10
39000,1989, 하계동 274,2024-07-09,청솔(시영7),39.92,10
57000,1999, 하계동 354,2024-07-09,학여울청구,59.4,10
83000,1997, 하계동 251,2024-07-12,하계1청구,84.6,14
52000,1988, 상계동 765,2024-07-01,상계주공1(고층),59.28,3
34000,1989, 상계동 637,2024-07-01,상계주공13(고층),45.9,9
60900,1988, 상계동 639,2024-07-01,보람아파트,68.99,12
56500,1988, 상계동 451,2024-07-01,한신2차,84.92,15
34000,1989, 상계동 637,2024-07-01,상계주공13(고층),45.9,9
62000,1988, 상계동 765,2024-07-02,상계주공1(고층),68.86,1
48500,1988, 상계동 666,2024-07-02,상계주공10(고층),49.94,15
35500,1989, 상계동 173-1,2024-07-03,벽산,43.35,14
38000,1988, 상계동 670,2024-07-03,상계주공9(고층),45.9,3
50000,1988, 상계동 691,2024-07-03,상계주공7(고층),41.3,9
51200,1987, 상계동 721,2024-07-03,상계주공5(저층),31.98,2
41000,1988, 상계동 765,2024-07-03,상계주공1(고층),41.3,4
51000,1987, 상계동 721,2024-07-05,상계주공5(저층),31.98,2
62500,1999, 상계동 1063,2024-07-05,상계현대3차,84.96,7
47700,1988, 상계동 720,2024-07-05,상계주공6(고층),41.3,5
41300,1988, 상계동 652,2024-07-06,상계주공11(고층),41.3,8
48000,1988, 상계동 670,2024-07-06,상계주공9(고층),49.94,13
35900,1989, 상계동 626,2024-07-06,상계주공14(고층),45.9,2
45700,1989, 상계동 637,2024-07-07,상계주공13(고층),58.01,8
47500,2000, 상계동 1289,2024-07-08,상계불암대림,59.22,5
32000,1988, 상계동 451,2024-07-08,한신2차,45.92,4
106800,1995, 중계동 360-15,2024-07-01,건영3,84.9,2
82000,1989, 중계동 505,2024-07-01,상아,84.97,14
97000,1995, 중계동 360-15,2024-07-02,건영3,84.9,1
54000,1993, 중계동 577,2024-07-02,현대1(4차),77.15,6
52000,1990, 중계동 502-1,2024-07-02,중계그린1단지,49.85,13
52000,1997, 중계동 583,2024-07-02,금호타운(583),59.52,12
28000,1988, 중계동 103,2024-07-03,동진,38.79,3
45000,1993, 중계동 364-12,2024-07-03,주공6,44.1,7
50000,1992, 중계동 359-1,2024-07-03,주공5,44.94,10
45900,1991, 중계동 358-2,2024-07-03,주공4,45.77,9
38000,1991, 중계동 512,2024-07-03,중계무지개,39.82,4
38000,1991, 중계동 512,2024-07-03,중계무지개,39.82,4
46000,1992, 중계동 359-1,2024-07-05,주공5,44.52,10
48000,1990, 중계동 502-1,2024-07-05,중계그린1단지,49.5,5
43000,1993, 중계동 364-12,2024-07-05,주공6,44.1,9
70000,1997, 중계동 583,2024-07-06,금호타운(583),84.98,5
50800,1990, 중계동 502-1,2024-07-06,중계그린1단지,49.5,12
34400,1992, 중계동 369,2024-07-06,주공2,44.52,2
63000,1999, 중계동 590,2024-07-06,신안,59.97,1
52000,1989, 중계동 505,2024-07-06,상아,51.29,8
51000,1999, 중계동 593,2024-07-06,삼성,59.9,6
110500,1995, 중계동 360-15,2024-07-08,건영3,84.9,3
48000,1992, 중계동 359-1,2024-07-08,주공5,58.46,15
38400,1991, 중계동 512,2024-07-10,중계무지개,39.82,10
38000,1991, 중계동 512,2024-07-10,중계무지개,39.96,4
59000,2021, 수색동 417,2024-07-01,DMC롯데캐슬더퍼스트,39.83,2
63500,2003, 수색동 415-1,2024-07-04,e편한세상 수색 에코포레,59.895,11
120000,2019, 녹번동 283,2024-07-03,래미안베라힐즈,84.93,15
38500,2019, 녹번동 183-2,2024-07-03,거장메카,39.51,12
81000,2004, 불광동 633,2024-07-01,북한산현대홈타운,84.9956,5
76000,2009, 불광동 635,2024-07-03,북한산힐스테이트1차아파트,84.369,1
81000,2010, 불광동 637,2024-07-06,북한산래미안아파트(2단지),59.9932,10
49000,1997, 대조동 231,2024-07-02,삼성타운,59.4,3
83000,2011, 응암동 760,2024-07-01,백련산힐스테이트2차,84.59,7
62900,2021, 응암동 766,2024-07-01,백련산파크자이,49.759,3
105000,2021, 응암동 769,2024-07-02,녹번역e편한세상캐슬,59.94,13
97000,2020, 응암동 767,2024-07-04,백련산에스케이뷰아이파크,84.9039,25
70000,2011, 응암동 759,2024-07-05,백련산힐스테이트1차,59.95,11
61700,1998, 응암동 739,2024-07-09,응암동금호,59.82,11
92500,2021, 응암동 766,2024-07-10,백련산파크자이,84.669,17
56000,1997, 신사동 359,2024-07-01,현대1,84.17,3
69500,2000, 증산동 244,2024-07-01,DMC우방,59.91,13
94500,2009, 진관동 105,2024-07-02,마고정3단지센트레빌(323~335동)BL2-2,84.04,10
115000,2008, 진관동 20,2024-07-03,상림마을8단지롯데캐슬(821~830동)BL1-12,101.76,6
83000,2006, 천연동 145,2024-07-06,천연뜨란채,56.08,14
103500,1995, 영천동 100,2024-07-04,독립문삼호,84.78,6
103500,1995, 영천동 100,2024-07-04,독립문삼호,84.78,6
106000,1998, 현저동 200,2024-07-02,독립문극동(200-0),84.87,5
64000,2000, 현저동 1019,2024-07-03,독립문파크빌,59.4,14
113000,1998, 현저동 200,2024-07-04,독립문극동(200-0),84.87,22
50000,2004, 북아현동 1-342,2024-07-01,대성,71.45,5
139000,2020, 북아현동 1017,2024-07-05,힐스테이트신촌,84.9557,1
149000,2020, 북아현동 1017,2024-07-07,힐스테이트신촌,84.9154,4
162500,2018, 북아현동 149,2024-07-08,e편한세상신촌2단지,84.93,13
62000,2002, 홍제동 463,2024-07-01,문화촌현대,59.94,19
84500,2000, 홍제동 459,2024-07-01,홍제원현대(459-0),84.9,9
67500,1993, 홍제동 82,2024-07-05,홍제한양,60.06,12
70600,1997, 홍제동 453-1,2024-07-06,청구2차,59.89,15
47000,2001, 홍제동 461,2024-07-06,홍제삼성래미안,32.76,9
86500,2001, 홍제동 461,2024-07-06,홍제삼성래미안,84.33,15
59000,2017, 홍제동 131-2,2024-07-12,제니스,57.0,4
92000,2002, 연희동 739,2024-07-02,대우푸르지오,84.706,8
15000,2014, 연희동 745,2024-07-03,연희자이엘라,13.642,8
64500,1997, 홍은동 456,2024-07-01,두산,84.84,9
77500,1988, 홍은동 202-5,2024-07-04,"현대(1,2차)",84.77,14
65000,1997, 홍은동 456,2024-07-06,두산,84.84,2
69400,1997, 홍은동 455,2024-07-06,홍은동벽산,84.78,6
50000,1987, 홍은동 22,2024-07-06,유원,64.26,10
58200,1990, 홍은동 453-2,2024-07-06,풍림2,66.69,2
165000,2012, 북가좌동 481,2024-07-01,DMC래미안e편한세상,153.86,13
50000,2003, 북가좌동 3-33,2024-07-03,성암,81.53,5
81000,2007, 북가좌동 459,2024-07-04,DMC두산위브,84.9623,8
99000,2009, 북가좌동 458,2024-07-06,DMC아이파크,84.93,7
174000,2012, 북가좌동 481,2024-07-06,DMC래미안e편한세상,153.86,34
96500,2012, 북가좌동 481,2024-07-07,DMC래미안e편한세상,59.97,4
165000,2012, 북가좌동 481,2024-07-07,DMC래미안e편한세상,153.86,5
100000,2012, 북가좌동 481,2024-07-07,DMC래미안e편한세상,59.97,8
120000,2015, 남가좌동 385,2024-07-01,DMC파크뷰자이1단지,84.971,6
125500,2015, 남가좌동 385,2024-07-02,DMC파크뷰자이1단지,84.98,3
121000,2009, 남가좌동 381,2024-07-03,DMC센트레빌,114.85,2
95500,1999, 남가좌동 376,2024-07-05,남가좌동현대,114.9,9
80000,2015, 남가좌동 385,2024-07-05,DMC파크뷰자이1단지,84.968,9
118000,2015, 남가좌동 385,2024-07-06,DMC파크뷰자이1단지,84.968,2
117000,2015, 남가좌동 385,2024-07-06,DMC파크뷰자이1단지,84.971,5
98500,2018, 남가좌동 388,2024-07-06,DMC센트럴아이파크,59.91,17
117000,2015, 남가좌동 385,2024-07-06,DMC파크뷰자이1단지,84.971,5
100000,2000, 남가좌동 377,2024-07-08,DMC래미안클라시스,114.88,12
103000,2019, 남가좌동 389,2024-07-11,DMC에코자이,59.79,8
107000,2003, 아현동 732,2024-07-01,삼환나띠르빌,84.9,8
192000,2014, 아현동 777,2024-07-04,마포래미안푸르지오4단지,84.3884,19
143000,2009, 신공덕동 170,2024-07-04,브라운스톤공덕아파트,59.89,10
120000,2000, 도화동 353,2024-07-01,현대홈타운,84.95,12
110000,1996, 도화동 357,2024-07-04,도화동현대,79.83,4
114500,1996, 도화동 357,2024-07-05,도화동현대,79.83,8
103000,1996, 도화동 357,2024-07-08,도화동현대,68.22,14
165500,2003, 용강동 380,2024-07-01,마포용강삼성래미안,84.2,16
209500,2015, 용강동 502,2024-07-05,래미안마포리버웰,84.98,9
110000,1997, 토정동 138,2024-07-03,한강삼성,59.97,9
112000,1997, 토정동 138,2024-07-06,한강삼성,59.76,6
170000,2020, 대흥동 806,2024-07-05,마포그랑자이,84.98,2
158000,2020, 대흥동 806,2024-07-06,마포그랑자이,59.96,9
189000,2019, 신수동 462,2024-07-05,신촌숲아이파크,84.912,9
193000,2019, 신수동 462,2024-07-07,신촌숲아이파크,84.901,27
188000,2016, 현석동 225,2024-07-06,래미안웰스트림,84.96,34
85000,2003, 창전동 439,2024-07-05,신촌태영데시앙,84.97,16
65000,2003, 합정동 375-2,2024-07-05,그레이스,52.34,7
65000,2003, 합정동 375-2,2024-07-05,그레이스,52.34,7
45000,2001, 망원동 493,2024-07-06,함성백합,38.69,2
114000,2003, 연남동 573,2024-07-03,코오롱,84.936,14
79000,1995, 연남동 259-1,2024-07-07,대명,59.99,8
90000,2003, 상암동 1637,2024-07-02,상암월드컵파크2단지,59.92,7
97000,1992, 신정동 333,2024-07-01,대림,84.89,14
140000,2021, 신정동 1326,2024-07-01,래미안목동아델리체(101동~118동),84.72,13
140000,1988, 신정동 326,2024-07-02,목동신시가지12,71.64,4
140000,2021, 신정동 1326,2024-07-02,래미안목동아델리체(101동~118동),84.9,11
140000,2021, 신정동 1326,2024-07-02,래미안목동아델리체(101동~118동),84.9,10
116000,1987, 신정동 329,2024-07-02,목동신시가지14,55.02,3
116000,1987, 신정동 329,2024-07-02,목동신시가지14,55.02,3
92000,2000, 신정동 1276,2024-07-03,신트리3,84.8,10
116000,1987, 신정동 311,2024-07-04,목동신시가지10,53.82,10
142000,1988, 신정동 326,2024-07-04,목동신시가지12,71.64,12
142000,1988, 신정동 326,2024-07-04,목동신시가지12,71.64,12
116000,1987, 신정동 311,2024-07-05,목동신시가지10,53.82,11
126000,1987, 신정동 312,2024-07-05,목동신시가지9,53.82,11
150500,1987, 신정동 312,2024-07-06,목동신시가지9,71.37,13
86000,2000, 신정동 337,2024-07-06,목동우성2,84.96,13
133500,1988, 신정동 326,2024-07-08,목동신시가지12,64.65,1
114500,1987, 신정동 327,2024-07-08,목동신시가지13,53.9,3
193500,1987, 신정동 329,2024-07-09,목동신시가지14,108.28,7
143800,1988, 신정동 326,2024-07-10,목동신시가지12,71.64,12
183000,2004, 신정동 318-12,2024-07-11,목동삼성쉐르빌Ⅱ,142.79,17
144700,1987, 신정동 329,2024-07-12,목동신시가지14,71.37,9
42200,2019, 목동 966,2024-07-02,목동에버하임,41.06,11
170000,1986, 목동 925,2024-07-03,목동신시가지7,59.39,4
184000,2000, 목동 908-28,2024-07-03,부영2,141.7,7
205000,1986, 목동 925,2024-07-03,목동신시가지7,74.12,2
133000,1985, 목동 901,2024-07-04,목동신시가지1,51.48,11
149000,1997, 목동 929,2024-07-04,목동청구한신아파트,84.77,3
121000,1985, 목동 901,2024-07-06,목동신시가지1,47.52,6
285000,1986, 목동 903,2024-07-06,목동신시가지3,153.58,4
232000,1986, 목동 912,2024-07-06,목동신시가지5,95.27,3
214000,1986, 목동 902,2024-07-06,목동신시가지2,97.92,1
285000,1986, 목동 903,2024-07-06,목동신시가지3,153.58,4
232000,1986, 목동 912,2024-07-06,목동신시가지5,95.27,3
80050,2002, 목동 753-1,2024-07-11,금강에스쁘아,59.691,7
58500,1988, 신월동 987-1,2024-07-01,신월시영,59.49,11
48500,1988, 신월동 987-1,2024-07-01,신월시영,50.67,1
51000,2003, 신월동 416-1,2024-07-01,보람쉬움1,58.15,14
58000,2004, 신월동 1028,2024-07-01,대주파크빌,59.98,7
67000,2004, 신월동 1029,2024-07-01,신도신월1차,84.85,5
68500,2004, 신월동 1033,2024-07-01,대성유니드,84.3,9
67000,2004, 신월동 1029,2024-07-01,신도신월1차,84.85,5
68500,2004, 신월동 1033,2024-07-01,대성유니드,84.3,9
55000,2009, 신월동 197-2,2024-07-03,코아루1단지,84.95,4
